Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-0.3/ 1.1/ -0.7), (-0.6/ 1.1/ -0.5), (-0.3/ 0.1/ -0.6), (-0.1/ 0.1/ -0.6), (-0.2/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,31.67944
Sad,(-0.3/ 1.1/ -0.7), (-0.6/ 1.1/ -0.4), (-0.3/ 0.1/ -0.6), (-0.1/ 0.1/ -0.6), (-0.2/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,32.01952
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Sad,(-0.3/ 1.0/ -0.8), (-0.8/ 1.5/ -0.5), (-0.2/ 0.1/ -0.5), (-0.2/ 0.1/ -0.6), (-0.3/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,40.83577
Sad,(-0.3/ 1.0/ -0.8), (-0.8/ 1.5/ -0.5), (-0.2/ 0.1/ -0.5), (-0.2/ 0.1/ -0.6), (-0.3/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,40.78981
Sad,(-0.3/ 1.1/ -0.9), (-0.8/ 1.2/ -0.4), (-0.2/ 0.1/ -0.5), (-0.2/ 0.1/ -0.6), (-0.2/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,38.97155
Sad,(-0.4/ 1.3/ -0.8), (-0.5/ 1.1/ -0.3), (-0.2/ 0.1/ -0.5), (-0.2/ 0.1/ -0.6), (-0.3/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.50344
Sad,(-0.4/ 1.4/ -0.8), (-0.6/ 1.1/ -0.3), (-0.2/ 0.1/ -0.5), (-0.3/ 0.1/ -0.6), (-0.3/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.14056
Sad,(-0.4/ 1.4/ -0.8), (-0.6/ 1.1/ -0.3), (-0.2/ 0.1/ -0.5), (-0.3/ 0.1/ -0.6), (-0.3/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,32.59358
Sad,(-0.3/ 1.2/ -0.9), (-0.6/ 1.1/ -0.3), (-0.2/ 0.1/ -0.5), (-0.3/ 0.1/ -0.6), (-0.3/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.51408
