Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-1.0/ 1.1/ -0.8), (-1.3/ 1.1/ -0.4), (-0.8/ 0.1/ -0.7), (-0.7/ 0.1/ -0.6), (-0.9/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,41.53241
Sad,(-1.0/ 1.1/ -0.8), (-1.3/ 1.1/ -0.4), (-0.8/ 0.1/ -0.7), (-0.7/ 0.1/ -0.6), (-0.9/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,41.14248
Sad,(-0.9/ 1.1/ -0.9), (-1.3/ 1.1/ -0.4), (-0.8/ 0.1/ -0.7), (-0.7/ 0.1/ -0.6), (-0.9/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,41.10545
Sad,(-0.9/ 1.1/ -0.9), (-1.3/ 1.1/ -0.5), (-0.8/ 0.1/ -0.7), (-0.7/ 0.1/ -0.7), (-0.9/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,41.38478
Sad,(-0.7/ 1.2/ -1.1), (-1.3/ 1.1/ -0.4), (-0.8/ 0.1/ -0.7), (-0.7/ 0.1/ -0.7), (-0.9/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,42.01897
Sad,(-1.0/ 1.1/ -1.0), (-1.2/ 1.1/ -0.5), (-0.8/ 0.1/ -0.7), (-0.7/ 0.1/ -0.7), (-0.8/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,41.94958
Sad,(-1.0/ 1.1/ -1.0), (-1.1/ 1.1/ -0.5), (-0.8/ 0.1/ -0.7), (-0.7/ 0.1/ -0.7), (-0.8/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,40.82243
Sad,(-1.0/ 1.0/ -1.0), (-1.1/ 1.1/ -0.4), (-0.8/ 0.1/ -0.7), (-0.7/ 0.1/ -0.7), (-0.8/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,40.69304
Sad,(-1.0/ 1.0/ -1.0), (-1.1/ 1.1/ -0.4), (-0.8/ 0.1/ -0.7), (-0.7/ 0.1/ -0.7), (-0.8/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,41.0894
Sad,(-1.0/ 1.1/ -1.0), (-1.1/ 1.1/ -0.5), (-0.8/ 0.1/ -0.7), (-0.7/ 0.1/ -0.7), (-0.8/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,40.86949
Sad,(-1.0/ 1.1/ -1.0), (-1.1/ 1.1/ -0.4), (-0.9/ 0.1/ -0.6), (-0.7/ 0.1/ -0.7), (-0.8/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,41.40328
Sad,(-1.0/ 1.1/ -0.9), (-1.2/ 1.1/ -0.4), (-0.9/ 0.1/ -0.6), (-0.7/ 0.1/ -0.7), (-0.9/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,42.18197
Sad,(-1.0/ 1.1/ -0.8), (-1.3/ 1.1/ -0.4), (-0.8/ 0.1/ -0.6), (-0.7/ 0.1/ -0.6), (-0.9/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,42.32357
Sad,(-0.9/ 1.1/ -0.8), (-1.3/ 1.1/ -0.5), (-0.8/ 0.1/ -0.6), (-0.7/ 0.1/ -0.6), (-0.9/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,41.4325
Sad,(-0.9/ 1.1/ -0.8), (-1.3/ 1.1/ -0.4), (-0.8/ 0.1/ -0.6), (-0.7/ 0.1/ -0.6), (-0.9/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,41.54214
Sad,(-1.0/ 1.1/ -0.9), (-1.2/ 1.1/ -0.4), (-0.8/ 0.1/ -0.6), (-0.7/ 0.1/ -0.6), (-0.9/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,41.71545
Sad,(-1.0/ 1.1/ -1.0), (-1.2/ 1.1/ -0.5), (-0.8/ 0.1/ -0.6), (-0.7/ 0.1/ -0.6), (-0.8/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,41.79687
