Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Disgusted,(0.7/ 1.1/ 0.6), (0.8/ 1.0/ 0.5), (0.8/ 0.1/ 0.6), (0.7/ 0.1/ 0.8), (0.8/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,65.79943
Disgusted,(0.7/ 1.1/ 0.6), (0.8/ 1.0/ 0.5), (0.8/ 0.1/ 0.6), (0.7/ 0.1/ 0.8), (0.8/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,66.40064
Disgusted,(0.7/ 1.1/ 0.6), (0.8/ 1.0/ 0.6), (0.8/ 0.1/ 0.6), (0.7/ 0.1/ 0.8), (0.7/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,66.84517
Disgusted,(0.7/ 1.2/ 0.7), (0.8/ 1.0/ 0.6), (0.8/ 0.1/ 0.6), (0.7/ 0.1/ 0.8), (0.7/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,67.27074
Disgusted,(0.7/ 1.2/ 0.6), (0.8/ 1.0/ 0.6), (0.8/ 0.1/ 0.6), (0.7/ 0.1/ 0.8), (0.7/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,66.66749
Disgusted,(0.6/ 1.2/ 0.6), (0.8/ 1.0/ 0.6), (0.8/ 0.1/ 0.6), (0.8/ 0.1/ 0.8), (0.7/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,66.01678
Disgusted,(0.7/ 1.2/ 0.6), (0.8/ 1.0/ 0.5), (0.8/ 0.1/ 0.6), (0.8/ 0.1/ 0.8), (0.7/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,66.32701
Disgusted,(0.7/ 1.2/ 0.6), (0.8/ 1.0/ 0.6), (0.8/ 0.1/ 0.6), (0.8/ 0.1/ 0.8), (0.7/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,66.57722
Disgusted,(0.7/ 1.2/ 0.6), (0.8/ 1.0/ 0.6), (0.8/ 0.1/ 0.6), (0.8/ 0.1/ 0.8), (0.7/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,67.00421
Disgusted,(0.7/ 1.2/ 0.6), (0.8/ 1.0/ 0.6), (0.8/ 0.1/ 0.6), (0.8/ 0.1/ 0.8), (0.8/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,67.67342
