Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-5.3/ 1.3/ -0.5), (-6.1/ 1.1/ -0.1), (-5.7/ 0.1/ -0.1), (-5.5/ 0.1/ 0.0), (-5.6/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,379.4914
Sad,(-5.4/ 1.4/ -0.6), (-6.1/ 1.0/ 0.0), (-5.7/ 0.1/ -0.1), (-5.5/ 0.1/ 0.0), (-5.6/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,381.5797
Sad,(-5.5/ 1.4/ -0.6), (-6.1/ 1.0/ 0.0), (-5.7/ 0.1/ -0.1), (-5.5/ 0.1/ -0.1), (-5.7/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,383.9061
Sad,(-5.4/ 1.3/ -0.6), (-6.1/ 1.0/ -0.1), (-5.7/ 0.1/ -0.1), (-5.5/ 0.1/ -0.1), (-5.7/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,382.3766
Sad,(-5.4/ 1.2/ -0.6), (-6.1/ 1.0/ 0.0), (-5.6/ 0.1/ -0.1), (-5.5/ 0.1/ -0.1), (-5.7/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,381.9142
Sad,(-5.6/ 1.0/ -0.4), (-5.9/ 1.0/ 0.3), (-5.6/ 0.1/ 0.1), (-5.5/ 0.1/ -0.1), (-5.7/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,383.0949
Sad,(-5.8/ 1.0/ -0.4), (-5.6/ 1.0/ 0.4), (-5.5/ 0.1/ 0.1), (-5.7/ 0.1/ -0.1), (-5.7/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,382.7924
Sad,(-5.9/ 1.0/ -0.3), (-5.7/ 1.0/ 0.6), (-5.6/ 0.1/ 0.1), (-5.8/ 0.1/ 0.0), (-5.8/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,391.7311
Sad,(-6.0/ 1.1/ -0.2), (-5.8/ 1.0/ 0.6), (-5.8/ 0.1/ 0.2), (-5.8/ 0.1/ 0.0), (-5.9/ 1.5/ 0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,398.0786
Sad,(-6.2/ 1.1/ -0.3), (-5.9/ 1.0/ 0.5), (-5.9/ 0.1/ 0.1), (-5.8/ 0.1/ 0.0), (-6.0/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,404.1446
Sad,(-6.2/ 1.0/ -0.3), (-5.9/ 1.0/ 0.4), (-5.9/ 0.1/ 0.1), (-6.0/ 0.1/ 0.0), (-6.1/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,410.337
Sad,(-6.2/ 1.0/ -0.3), (-6.1/ 0.9/ 0.5), (-5.9/ 0.1/ 0.1), (-6.1/ 0.1/ 0.0), (-6.1/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,413.8458
Sad,(-6.3/ 1.0/ -0.3), (-6.1/ 1.0/ 0.6), (-5.9/ 0.1/ 0.1), (-6.1/ 0.1/ 0.0), (-6.1/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,415.805
