Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-1.2/ 1.1/ -1.0), (-1.1/ 1.2/ -1.0), (-1.3/ 0.1/ -1.1), (-1.2/ 0.1/ -0.9), (-1.1/ 1.5/ -1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,66.26405
Sad,(-1.2/ 1.1/ -1.0), (-1.1/ 1.1/ -1.0), (-1.3/ 0.1/ -1.1), (-1.2/ 0.1/ -0.9), (-1.1/ 1.5/ -1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,66.07148
Sad,(-1.2/ 1.0/ -1.0), (-1.1/ 1.1/ -1.0), (-1.3/ 0.1/ -1.1), (-1.2/ 0.1/ -1.0), (-1.1/ 1.5/ -1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,65.03755
Sad,(-1.4/ 1.0/ -1.0), (-1.2/ 1.0/ -0.9), (-1.3/ 0.1/ -1.1), (-1.3/ 0.1/ -0.9), (-1.3/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,69.62304
Sad,(-1.3/ 1.0/ -1.0), (-1.2/ 1.0/ -0.8), (-1.0/ 0.1/ -0.8), (-1.3/ 0.1/ -0.9), (-1.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,60.26343
Sad,(-1.1/ 1.0/ -0.7), (-1.0/ 0.9/ -0.5), (-1.0/ 0.1/ -0.8), (-1.2/ 0.2/ -0.6), (-1.1/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,47.91759
Sad,(-1.0/ 1.0/ -0.4), (-0.7/ 0.9/ -0.3), (-0.9/ 0.2/ -0.6), (-1.0/ 0.1/ -0.1), (-1.0/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,41.40886
Neutral,(-0.9/ 1.0/ 0.1), (-0.7/ 0.9/ 0.2), (-0.7/ 0.1/ 0.3), (-1.0/ 0.1/ 0.0), (-0.9/ 1.5/ 0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,57.3559
Happy,(-0.8/ 1.0/ 0.4), (-0.6/ 0.9/ 0.5), (-0.7/ 0.1/ 0.3), (-0.8/ 0.1/ 0.8), (-0.8/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,62.50186
Disgusted,(-0.7/ 1.1/ 0.6), (-0.5/ 0.9/ 0.7), (-0.7/ 0.2/ 0.6), (-0.7/ 0.1/ 0.9), (-0.6/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,65.63827
Disgusted,(-0.7/ 1.1/ 0.8), (-0.5/ 0.9/ 0.9), (-0.5/ 0.1/ 1.0), (-0.7/ 0.1/ 0.9), (-0.6/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,72.68937
Disgusted,(-0.7/ 1.1/ 1.1), (-0.5/ 1.0/ 1.2), (-0.7/ 0.1/ 1.0), (-0.7/ 0.2/ 1.0), (-0.6/ 1.5/ 1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,81.96948
Disgusted,(-0.8/ 1.0/ 0.8), (-0.7/ 1.1/ 0.9), (-0.8/ 0.1/ 0.7), (-0.7/ 0.1/ 1.0), (-0.7/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,76.77892
