Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-1.4/ 1.2/ -1.9), (-1.1/ 1.1/ -1.5), (-1.1/ 0.1/ -1.8), (-1.2/ 0.2/ -1.9), (-1.2/ 1.5/ -1.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,105.8349
Sad,(-1.4/ 1.2/ -1.9), (-1.3/ 1.1/ -1.3), (-1.2/ 0.1/ -1.8), (-1.1/ 0.2/ -1.8), (-1.2/ 1.5/ -1.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,106.0117
Sad,(-1.5/ 1.2/ -1.8), (-1.3/ 1.1/ -1.3), (-1.5/ 0.2/ -1.7), (-1.2/ 0.2/ -1.8), (-1.3/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,103.3247
Sad,(-1.7/ 1.2/ -1.7), (-1.2/ 1.1/ -1.4), (-1.5/ 0.1/ -1.6), (-1.3/ 0.2/ -1.8), (-1.5/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,106.3914
Sad,(-1.8/ 1.1/ -1.4), (-1.2/ 1.0/ -1.4), (-1.5/ 0.1/ -1.6), (-1.7/ 0.1/ -1.6), (-1.6/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,106.8963
Sad,(-1.8/ 1.2/ -1.2), (-1.3/ 1.1/ -1.2), (-1.8/ 0.2/ -1.2), (-1.7/ 0.2/ -1.5), (-1.7/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,101.4061
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Sad,(-2.0/ 1.5/ -1.0), (-1.7/ 1.3/ -0.6), (-1.9/ 0.1/ -0.9), (-1.8/ 0.2/ -1.2), (-1.8/ 1.5/ -1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,107.6156
Sad,(-2.1/ 1.5/ -0.9), (-1.6/ 1.1/ -0.7), (-2.1/ 0.2/ -0.8), (-1.8/ 0.2/ -1.2), (-1.8/ 1.5/ -1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,107.3408
Sad,(-2.3/ 1.3/ -0.6), (-1.6/ 1.0/ -0.6), (-2.1/ 0.1/ -0.7), (-1.9/ 0.2/ -1.1), (-2.1/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,114.535
Sad,(-2.5/ 1.2/ -0.5), (-1.8/ 1.1/ -0.4), (-2.1/ 0.1/ -0.7), (-2.3/ 0.2/ -0.5), (-2.2/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,126.4917
Sad,(-2.6/ 1.2/ -0.3), (-1.9/ 1.2/ -0.2), (-2.3/ 0.2/ -0.5), (-2.4/ 0.2/ -0.5), (-2.3/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,135.2457
Sad,(-2.6/ 1.2/ 0.0), (-2.0/ 1.2/ 0.0), (-2.5/ 0.2/ 0.1), (-2.4/ 0.2/ -0.4), (-2.4/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,145.4683
Sad,(-2.8/ 1.2/ 0.2), (-2.2/ 1.1/ 0.3), (-2.5/ 0.1/ 0.2), (-2.5/ 0.1/ -0.1), (-2.5/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,157.8498
Sad,(-2.9/ 1.2/ 0.2), (-2.3/ 1.2/ 0.5), (-2.5/ 0.1/ 0.2), (-2.5/ 0.2/ 0.2), (-2.5/ 1.5/ 0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,165.6878
Sad,(-2.8/ 1.2/ 0.4), (-2.3/ 1.2/ 0.7), (-2.6/ 0.2/ 0.3), (-2.5/ 0.2/ 0.2), (-2.5/ 1.5/ 0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,168.7643
Sad,(-2.8/ 1.2/ 0.4), (-2.3/ 1.2/ 0.7), (-2.6/ 0.2/ 0.3), (-2.5/ 0.2/ 0.2), (-2.6/ 1.5/ 0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,170.1313
Sad,(-2.9/ 1.2/ 0.3), (-2.3/ 1.2/ 0.7), (-2.6/ 0.2/ 0.3), (-2.5/ 0.2/ 0.2), (-2.6/ 1.5/ 0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,170.6498
Sad,(-2.9/ 1.2/ 0.3), (-2.3/ 1.2/ 0.6), (-2.6/ 0.2/ 0.3), (-2.5/ 0.2/ 0.2), (-2.6/ 1.5/ 0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,170.7593
Sad,(-2.9/ 1.2/ 0.4), (-2.3/ 1.1/ 0.6), (-2.6/ 0.2/ 0.4), (-2.5/ 0.2/ 0.2), (-2.6/ 1.6/ 0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,170.2491
