Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Disgusted,(0.9/ 1.1/ 1.3), (0.6/ 1.1/ 1.4), (1.1/ 0.1/ 1.4), (1.1/ 0.1/ 1.4), (1.1/ 1.5/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,114.1748
Disgusted,(0.9/ 1.1/ 1.3), (0.6/ 1.1/ 1.4), (1.1/ 0.1/ 1.4), (1.1/ 0.1/ 1.4), (1.1/ 1.5/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,114.6539
Disgusted,(0.9/ 1.1/ 1.3), (0.6/ 1.1/ 1.4), (1.1/ 0.1/ 1.4), (1.1/ 0.1/ 1.4), (1.1/ 1.5/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,114.903
Disgusted,(0.9/ 1.1/ 1.3), (0.6/ 1.1/ 1.4), (1.1/ 0.1/ 1.4), (1.1/ 0.1/ 1.4), (1.1/ 1.5/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,114.7769
Disgusted,(0.9/ 1.1/ 1.3), (0.6/ 1.1/ 1.4), (1.1/ 0.1/ 1.4), (1.1/ 0.1/ 1.4), (1.1/ 1.5/ 1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,114.3633
Disgusted,(0.9/ 1.1/ 1.3), (0.6/ 1.1/ 1.5), (1.1/ 0.1/ 1.4), (1.1/ 0.1/ 1.4), (1.1/ 1.5/ 1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,115.3315
Disgusted,(0.9/ 1.1/ 1.3), (0.6/ 1.1/ 1.5), (1.1/ 0.1/ 1.4), (1.1/ 0.1/ 1.4), (1.1/ 1.5/ 1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,115.2595
Disgusted,(0.9/ 1.1/ 1.3), (0.6/ 1.1/ 1.4), (1.1/ 0.1/ 1.4), (1.1/ 0.1/ 1.4), (1.1/ 1.5/ 1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,114.065
Disgusted,(0.9/ 1.1/ 1.3), (0.6/ 1.1/ 1.4), (1.1/ 0.1/ 1.4), (1.1/ 0.1/ 1.4), (1.1/ 1.4/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,112.9004
Disgusted,(0.9/ 1.1/ 1.3), (0.6/ 1.1/ 1.4), (1.1/ 0.1/ 1.4), (1.1/ 0.1/ 1.5), (1.1/ 1.4/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,113.5247
Disgusted,(0.9/ 1.1/ 1.3), (0.6/ 1.1/ 1.5), (1.1/ 0.1/ 1.4), (1.1/ 0.1/ 1.5), (1.1/ 1.5/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,116.1072
Disgusted,(0.9/ 1.0/ 1.4), (0.6/ 1.1/ 1.5), (1.1/ 0.1/ 1.4), (1.1/ 0.1/ 1.5), (1.0/ 1.4/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,117.4829
Disgusted,(0.9/ 1.0/ 1.4), (0.6/ 1.0/ 1.5), (1.1/ 0.1/ 1.4), (1.1/ 0.1/ 1.5), (1.0/ 1.4/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,117.7866
