Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-3.5/ 1.0/ 0.8), (-3.6/ 1.1/ 1.0), (-3.7/ 0.1/ 1.0), (-3.7/ 0.1/ 1.2), (-3.6/ 1.5/ 1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,256.8168
Sad,(-3.6/ 1.0/ 0.8), (-3.7/ 1.1/ 1.0), (-3.7/ 0.1/ 1.0), (-3.7/ 0.1/ 1.2), (-3.6/ 1.5/ 1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,258.835
Sad,(-3.7/ 1.0/ 0.8), (-3.7/ 1.1/ 1.0), (-3.7/ 0.1/ 1.0), (-3.7/ 0.1/ 1.2), (-3.7/ 1.5/ 1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,263.1334
Sad,(-3.7/ 1.0/ 0.8), (-3.8/ 1.1/ 1.0), (-3.7/ 0.1/ 1.0), (-3.7/ 0.1/ 1.2), (-3.7/ 1.5/ 1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,263.1535
Sad,(-3.8/ 1.0/ 0.8), (-3.8/ 1.1/ 1.0), (-3.7/ 0.1/ 1.0), (-3.7/ 0.1/ 1.1), (-3.7/ 1.5/ 1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,263.9264
Sad,(-3.7/ 1.0/ 0.8), (-3.8/ 1.1/ 1.0), (-3.7/ 0.1/ 1.0), (-3.7/ 0.1/ 1.1), (-3.7/ 1.5/ 1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,263.2768
Sad,(-3.7/ 1.0/ 0.8), (-3.8/ 1.0/ 1.0), (-3.7/ 0.1/ 1.1), (-3.6/ 0.1/ 1.1), (-3.7/ 1.4/ 1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,264.8451
Sad,(-4.0/ 1.0/ 0.8), (-4.0/ 1.1/ 1.0), (-3.7/ 0.1/ 1.1), (-3.7/ 0.1/ 1.0), (-3.9/ 1.5/ 1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,272.7565
Sad,(-4.1/ 1.0/ 0.9), (-4.1/ 1.1/ 1.1), (-4.3/ 0.1/ 1.0), (-3.7/ 0.1/ 1.0), (-4.0/ 1.4/ 1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,286.0405
Sad,(-4.4/ 1.0/ 0.7), (-4.3/ 1.1/ 0.9), (-4.3/ 0.1/ 1.0), (-4.0/ 0.2/ 0.9), (-4.3/ 1.5/ 1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,297.7771
Sad,(-4.5/ 1.0/ 0.7), (-4.5/ 1.1/ 0.9), (-4.3/ 0.1/ 1.0), (-4.4/ 0.1/ 0.9), (-4.4/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,309.0358
Sad,(-4.6/ 1.0/ 0.8), (-4.6/ 1.1/ 1.0), (-4.4/ 0.1/ 1.1), (-4.4/ 0.1/ 1.0), (-4.5/ 1.5/ 1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,315.103
Sad,(-4.6/ 1.1/ 0.7), (-4.5/ 1.1/ 0.9), (-4.4/ 0.1/ 1.0), (-4.4/ 0.1/ 1.0), (-4.4/ 1.5/ 1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,312.5298
