Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-1.6/ 1.1/ -1.9), (-1.4/ 1.1/ -1.2), (-1.2/ 0.1/ -1.4), (-1.5/ 0.1/ -1.4), (-1.3/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,100.0241
Sad,(-1.8/ 1.1/ -1.7), (-1.7/ 1.1/ -1.0), (-1.4/ 0.1/ -1.3), (-1.5/ 0.1/ -1.4), (-1.5/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,103.4707
Sad,(-1.9/ 1.1/ -1.6), (-1.7/ 1.1/ -1.0), (-1.6/ 0.1/ -1.2), (-1.5/ 0.1/ -1.4), (-1.7/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,107.8188
Sad,(-1.9/ 1.1/ -1.6), (-1.8/ 1.1/ -1.0), (-1.6/ 0.1/ -1.2), (-1.6/ 0.1/ -1.3), (-1.7/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,107.7579
Sad,(-1.9/ 1.1/ -1.6), (-1.8/ 1.0/ -0.9), (-1.6/ 0.1/ -1.2), (-1.6/ 0.1/ -1.3), (-1.7/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,106.4552
Sad,(-1.9/ 1.2/ -1.6), (-1.8/ 1.0/ -0.9), (-1.6/ 0.1/ -1.2), (-1.6/ 0.1/ -1.3), (-1.7/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,106.3379
Sad,(-1.9/ 1.2/ -1.6), (-1.8/ 1.0/ -0.9), (-1.6/ 0.1/ -1.2), (-1.5/ 0.1/ -1.3), (-1.7/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,106.6581
Sad,(-1.9/ 1.2/ -1.6), (-1.8/ 1.0/ -0.9), (-1.6/ 0.1/ -1.2), (-1.5/ 0.1/ -1.3), (-1.7/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,106.4052
Sad,(-1.8/ 1.2/ -1.6), (-1.8/ 1.0/ -0.9), (-1.6/ 0.1/ -1.2), (-1.6/ 0.1/ -1.3), (-1.7/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,106.2518
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Tiempo en resolver la situación: 51,23 segundos

Entre el comienzo de la clase y el desarrollo de la situación crítica el tono de voz se vio modificado un 0 %
No se ha detectado ninguna palabra
