Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-3.6/ 1.1/ -0.5), (-3.8/ 1.1/ 0.1), (-3.7/ 0.1/ -0.2), (-3.2/ 0.2/ 0.0), (-3.5/ 1.5/ -0.2), (-0.9/ 0.4/ 0.0), 0.3333333, 0.3333333,230.7252
Sad,(-3.5/ 1.1/ -0.6), (-3.9/ 1.1/ 0.0), (-3.7/ 0.1/ -0.2), (-3.4/ 0.1/ -0.1), (-3.6/ 1.5/ -0.2), (-0.9/ 0.4/ -0.1), 0.3333333, 0.3333333,233.9146
Sad,(-3.5/ 1.1/ -0.6), (-3.9/ 1.1/ 0.0), (-3.6/ 0.1/ -0.3), (-3.4/ 0.1/ -0.1), (-3.5/ 1.5/ -0.2), (-0.9/ 0.4/ -0.1), 0.3333333, 0.3333333,230.9132
Sad,(-3.5/ 1.1/ -0.7), (-3.8/ 1.1/ -0.1), (-3.6/ 0.1/ -0.4), (-3.4/ 0.1/ -0.1), (-3.5/ 1.5/ -0.4), (-0.9/ 0.4/ -0.1), 0.3333333, 0.3333333,230.0009
Sad,(-3.5/ 1.1/ -0.8), (-3.8/ 1.1/ -0.2), (-3.6/ 0.1/ -0.4), (-3.5/ 0.1/ -0.4), (-3.5/ 1.5/ -0.5), (-0.9/ 0.4/ -0.1), 0.3333333, 0.3333333,229.8668
Sad,(-3.5/ 1.1/ -0.8), (-3.9/ 1.1/ -0.2), (-3.6/ 0.1/ -0.4), (-3.5/ 0.1/ -0.4), (-3.5/ 1.5/ -0.5), (-0.9/ 0.4/ -0.1), 0.3333333, 0.3333333,230.8904
Sad,(-3.6/ 1.1/ -0.8), (-3.8/ 1.1/ -0.2), (-3.6/ 0.1/ -0.6), (-3.5/ 0.1/ -0.4), (-3.6/ 1.5/ -0.5), (-0.9/ 0.4/ -0.1), 0.3333333, 0.3333333,231.389
Sad,(-3.6/ 1.1/ -1.0), (-3.8/ 1.1/ -0.3), (-3.6/ 0.1/ -0.6), (-3.5/ 0.1/ -0.4), (-3.6/ 1.4/ -0.7), (-0.9/ 0.4/ -0.2), 0.3333333, 0.3333333,230.8568
Sad,(-3.6/ 1.1/ -1.0), (-3.7/ 1.1/ -0.3), (-3.6/ 0.1/ -0.6), (-3.5/ 0.1/ -0.4), (-3.5/ 1.5/ -0.7), (-0.9/ 0.4/ -0.2), 0.3333333, 0.3333333,230.5956
Sad,(-3.6/ 1.1/ -1.0), (-3.7/ 1.1/ -0.3), (-3.6/ 0.1/ -0.6), (-3.4/ 0.1/ -0.4), (-3.6/ 1.5/ -0.7), (-0.9/ 0.4/ -0.2), 0.3333333, 0.3333333,229.8449
