Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-0.5/ 1.0/ -0.1), (-1.0/ 1.1/ -0.3), (-0.6/ 0.1/ -0.6), (-0.6/ 0.1/ -0.2), (-0.7/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,35.57845
Sad,(-0.6/ 1.1/ -0.2), (-1.0/ 1.1/ -0.4), (-0.6/ 0.1/ -0.6), (-0.6/ 0.1/ -0.2), (-0.6/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,32.24992
Sad,(-0.6/ 1.0/ -0.3), (-1.0/ 1.1/ -0.6), (-0.6/ 0.1/ -0.6), (-0.8/ 0.1/ -0.6), (-0.6/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,30.83839
Sad,(-0.7/ 1.1/ -0.4), (-1.1/ 1.1/ -0.8), (-0.6/ 0.1/ -0.6), (-0.8/ 0.1/ -0.6), (-0.7/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,32.90971
Sad,(-0.7/ 1.1/ -0.4), (-1.0/ 1.1/ -0.9), (-0.6/ 0.1/ -0.8), (-0.8/ 0.1/ -0.6), (-0.7/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.39449
Sad,(-0.7/ 1.1/ -0.4), (-1.1/ 1.1/ -0.9), (-0.6/ 0.1/ -0.7), (-0.8/ 0.1/ -0.6), (-0.7/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,32.72982
Sad,(-0.5/ 1.1/ -0.2), (-0.9/ 1.1/ -0.7), (-0.5/ 0.1/ -0.5), (-0.7/ 0.1/ -0.6), (-0.6/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,29.6726
Sad,(-0.4/ 1.1/ -0.2), (-0.9/ 1.1/ -0.5), (-0.5/ 0.1/ -0.5), (-0.6/ 0.1/ -0.3), (-0.5/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,30.00275
Sad,(-0.3/ 1.1/ -0.2), (-1.0/ 1.1/ -0.2), (-0.5/ 0.1/ -0.5), (-0.6/ 0.1/ -0.3), (-0.6/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,31.54797
Sad,(-0.3/ 1.1/ -0.5), (-0.7/ 1.1/ 0.0), (-0.6/ 0.1/ -0.5), (-0.6/ 0.1/ -0.3), (-0.6/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,29.48442
Sad,(-0.4/ 1.1/ -0.6), (-0.7/ 1.1/ 0.0), (-0.6/ 0.1/ -0.5), (-0.5/ 0.1/ -0.4), (-0.6/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.72613
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Sad,(-0.9/ 1.4/ -0.7), (-0.9/ 1.2/ 0.0), (-0.6/ 0.1/ -0.5), (-0.5/ 0.1/ -0.4), (-0.7/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.53455
Sad,(-0.9/ 1.4/ -0.7), (-0.9/ 1.2/ 0.0), (-0.6/ 0.1/ -0.5), (-0.5/ 0.1/ -0.4), (-0.7/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.53455
