Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-1.3/ 1.1/ -1.4), (-1.3/ 1.1/ -1.2), (-1.1/ 0.1/ -1.2), (-1.2/ 0.1/ -1.0), (-1.2/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,77.83485
Sad,(-1.4/ 1.1/ -1.4), (-1.3/ 1.1/ -1.1), (-1.1/ 0.1/ -1.2), (-1.2/ 0.1/ -1.0), (-1.2/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,77.70744
Sad,(-1.4/ 1.0/ -1.4), (-1.3/ 1.1/ -1.1), (-1.1/ 0.1/ -1.2), (-1.2/ 0.1/ -1.0), (-1.3/ 1.4/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,76.78642
Sad,(-1.4/ 1.1/ -1.3), (-1.4/ 1.1/ -1.0), (-1.2/ 0.1/ -1.2), (-1.2/ 0.1/ -1.0), (-1.3/ 1.5/ -1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,75.21585
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Sad,(-1.3/ 1.0/ -1.1), (-1.6/ 1.1/ -1.0), (-1.1/ 0.1/ -1.2), (-1.1/ 0.1/ -0.9), (-1.3/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,73.95879
Sad,(-1.3/ 1.0/ -1.2), (-1.6/ 1.0/ -0.8), (-1.1/ 0.1/ -1.2), (-1.1/ 0.1/ -0.9), (-1.3/ 1.4/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,73.53754
Sad,(-1.4/ 1.0/ -1.1), (-1.5/ 1.0/ -0.7), (-1.2/ 0.1/ -1.2), (-1.1/ 0.1/ -0.9), (-1.3/ 1.5/ -1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,73.898
Sad,(-1.5/ 1.0/ -1.1), (-1.2/ 1.1/ -0.7), (-1.2/ 0.1/ -1.2), (-1.2/ 0.1/ -1.0), (-1.3/ 1.5/ -1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,70.72461
Sad,(-1.5/ 1.0/ -1.1), (-1.2/ 1.1/ -0.7), (-1.2/ 0.1/ -1.2), (-1.1/ 0.1/ -1.0), (-1.3/ 1.5/ -1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,70.56708
Sad,(-1.4/ 1.0/ -1.3), (-1.6/ 1.1/ -0.8), (-1.3/ 0.1/ -1.2), (-1.2/ 0.1/ -1.0), (-1.3/ 1.5/ -1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,78.83522
Sad,(-1.3/ 1.0/ -1.4), (-1.6/ 1.1/ -1.0), (-1.3/ 0.1/ -1.3), (-1.2/ 0.1/ -1.0), (-1.3/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,82.04227
Sad,(-1.3/ 1.0/ -1.6), (-1.5/ 1.1/ -1.1), (-1.3/ 0.1/ -1.3), (-1.3/ 0.1/ -1.1), (-1.3/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,87.24223
Sad,(-1.3/ 1.0/ -1.6), (-1.6/ 1.1/ -1.2), (-1.3/ 0.1/ -1.3), (-1.3/ 0.1/ -1.1), (-1.3/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,89.18307
Sad,(-1.3/ 1.0/ -1.6), (-1.5/ 1.1/ -1.2), (-1.3/ 0.1/ -1.3), (-1.3/ 0.1/ -1.1), (-1.3/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,88.69116
Sad,(-1.3/ 1.0/ -1.6), (-1.5/ 1.1/ -1.2), (-1.3/ 0.1/ -1.3), (-1.3/ 0.1/ -1.1), (-1.3/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,88.59808
Sad,(-1.3/ 1.0/ -1.6), (-1.5/ 1.1/ -1.2), (-1.3/ 0.1/ -1.3), (-1.3/ 0.1/ -1.1), (-1.3/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,88.34443
