Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Neutral,(0.0/ 1.1/ 0.6), (0.1/ 1.0/ 0.1), (-0.2/ 0.1/ 0.5), (-0.1/ 0.1/ 0.4), (-0.1/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.5577
Neutral,(0.1/ 1.1/ 0.5), (0.1/ 1.0/ 0.0), (-0.2/ 0.1/ 0.5), (-0.1/ 0.1/ 0.4), (-0.1/ 1.5/ 0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.48295
Neutral,(0.1/ 1.1/ 0.5), (0.1/ 1.0/ 0.0), (-0.1/ 0.1/ 0.5), (-0.1/ 0.1/ 0.4), (-0.1/ 1.5/ 0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,29.47296
Neutral,(0.1/ 1.1/ 0.5), (0.1/ 1.0/ 0.0), (-0.1/ 0.1/ 0.5), (0.0/ 0.1/ 0.4), (0.0/ 1.5/ 0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,29.7824
Neutral,(0.2/ 1.1/ 0.5), (0.2/ 1.0/ 0.0), (-0.1/ 0.1/ 0.5), (0.0/ 0.1/ 0.4), (0.1/ 1.5/ 0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,30.58784
Neutral,(0.2/ 1.1/ 0.5), (0.3/ 1.0/ 0.1), (0.0/ 0.1/ 0.6), (0.0/ 0.1/ 0.4), (0.1/ 1.5/ 0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,32.21969
Neutral,(0.2/ 1.1/ 0.5), (0.3/ 1.0/ 0.1), (0.0/ 0.1/ 0.5), (0.0/ 0.1/ 0.4), (0.2/ 1.5/ 0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,32.12991
Neutral,(0.2/ 1.1/ 0.5), (0.3/ 1.0/ 0.1), (0.0/ 0.1/ 0.5), (0.0/ 0.1/ 0.4), (0.2/ 1.5/ 0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,32.62712
Neutral,(0.2/ 1.1/ 0.5), (0.3/ 1.0/ 0.1), (0.0/ 0.1/ 0.5), (0.0/ 0.1/ 0.4), (0.2/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.06123
Disgusted,(0.3/ 1.2/ 0.6), (0.3/ 1.1/ 0.1), (0.0/ 0.1/ 0.5), (0.0/ 0.1/ 0.4), (0.1/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.50232
Disgusted,(0.2/ 1.2/ 0.7), (0.4/ 1.1/ 0.2), (0.0/ 0.1/ 0.6), (0.0/ 0.1/ 0.4), (0.1/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.11804
Disgusted,(0.2/ 1.2/ 0.7), (0.4/ 1.1/ 0.2), (0.0/ 0.1/ 0.6), (0.0/ 0.1/ 0.4), (0.1/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.44413
Disgusted,(0.2/ 1.1/ 0.7), (0.4/ 1.1/ 0.2), (0.0/ 0.1/ 0.6), (0.0/ 0.1/ 0.4), (0.0/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,35.78301
Neutral,(0.1/ 1.1/ 0.7), (0.3/ 1.1/ 0.3), (0.0/ 0.1/ 0.6), (0.0/ 0.1/ 0.4), (0.0/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,35.4331
Disgusted,(0.1/ 1.1/ 0.7), (0.3/ 1.1/ 0.3), (0.0/ 0.1/ 0.6), (0.0/ 0.1/ 0.4), (0.0/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,35.383
Neutral,(0.1/ 1.1/ 0.7), (0.3/ 1.0/ 0.3), (0.0/ 0.1/ 0.6), (0.0/ 0.1/ 0.4), (-0.1/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.73997
Neutral,(0.1/ 1.1/ 0.7), (0.3/ 1.0/ 0.3), (0.0/ 0.1/ 0.6), (0.0/ 0.1/ 0.4), (-0.1/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.88713
Neutral,(0.1/ 1.1/ 0.7), (0.3/ 1.0/ 0.3), (0.0/ 0.1/ 0.6), (0.0/ 0.1/ 0.4), (-0.1/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,35.80833
Neutral,(0.1/ 1.1/ 0.7), (0.3/ 1.0/ 0.3), (0.0/ 0.1/ 0.6), (0.0/ 0.1/ 0.4), (-0.1/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,35.14674
Neutral,(0.1/ 1.1/ 0.7), (0.3/ 1.0/ 0.3), (0.1/ 0.1/ 0.6), (0.0/ 0.1/ 0.4), (0.0/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.79048
Neutral,(0.1/ 1.1/ 0.7), (0.3/ 1.0/ 0.3), (0.1/ 0.1/ 0.6), (0.0/ 0.1/ 0.4), (0.0/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.61043
Neutral,(0.1/ 1.1/ 0.7), (0.3/ 1.0/ 0.3), (0.1/ 0.1/ 0.6), (0.0/ 0.1/ 0.4), (0.0/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.74999
Disgusted,(0.1/ 1.2/ 0.8), (0.3/ 1.0/ 0.3), (0.1/ 0.1/ 0.5), (0.0/ 0.1/ 0.5), (0.0/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,35.88236
Neutral,(0.1/ 1.1/ 0.8), (0.3/ 1.0/ 0.3), (0.1/ 0.1/ 0.5), (0.0/ 0.1/ 0.5), (-0.1/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.01627
Neutral,(0.1/ 1.1/ 0.7), (0.3/ 1.0/ 0.3), (0.1/ 0.1/ 0.5), (0.0/ 0.1/ 0.5), (-0.1/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,35.79074
Neutral,(0.1/ 1.1/ 0.7), (0.3/ 1.0/ 0.3), (0.1/ 0.1/ 0.5), (0.0/ 0.1/ 0.5), (-0.1/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,35.84089
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Tiempo en resolver la situación: 51,26 segundos

Entre el comienzo de la clase y el desarrollo de la situación crítica el tono de voz se vio modificado un 0 %
Se ha reconocido: Patio
