Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-2.2/ 1.0/ -0.9), (-2.3/ 1.0/ -0.5), (-2.0/ 0.1/ -0.7), (-1.9/ 0.1/ -0.9), (-2.1/ 1.4/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,124.5489
Sad,(-2.1/ 1.0/ -1.0), (-2.4/ 1.0/ -0.6), (-2.0/ 0.1/ -0.7), (-1.9/ 0.1/ -0.9), (-2.1/ 1.4/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,124.019
Sad,(-2.1/ 1.0/ -0.9), (-2.4/ 1.0/ -0.6), (-2.0/ 0.1/ -0.7), (-1.9/ 0.1/ -0.9), (-2.1/ 1.4/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,124.272
Sad,(-2.1/ 0.9/ -1.0), (-2.4/ 1.0/ -0.6), (-2.0/ 0.1/ -0.7), (-1.9/ 0.1/ -0.9), (-2.1/ 1.4/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,124.4857
Sad,(-2.1/ 0.9/ -1.0), (-2.4/ 1.0/ -0.6), (-2.0/ 0.1/ -0.7), (-1.9/ 0.1/ -0.9), (-2.1/ 1.4/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,124.6562
Sad,(-2.2/ 1.0/ -1.0), (-2.4/ 1.0/ -0.6), (-2.0/ 0.1/ -0.7), (-1.9/ 0.1/ -0.9), (-2.1/ 1.4/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,125.3716
Sad,(-2.2/ 1.0/ -0.9), (-2.3/ 1.0/ -0.5), (-2.0/ 0.1/ -0.7), (-1.9/ 0.1/ -0.8), (-2.1/ 1.4/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,124.7665
Sad,(-2.1/ 1.0/ -0.9), (-2.4/ 1.0/ -0.6), (-2.0/ 0.1/ -0.7), (-1.9/ 0.1/ -0.8), (-2.1/ 1.4/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,124.0788
Sad,(-2.2/ 1.0/ -0.9), (-2.4/ 1.0/ -0.6), (-2.0/ 0.1/ -0.7), (-1.9/ 0.1/ -0.8), (-2.2/ 1.4/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,124.515
Sad,(-2.2/ 1.0/ -0.9), (-2.3/ 1.0/ -0.6), (-2.0/ 0.1/ -0.7), (-1.9/ 0.1/ -0.8), (-2.2/ 1.4/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,124.4041
Sad,(-2.2/ 1.0/ -0.9), (-2.3/ 0.9/ -0.6), (-2.0/ 0.1/ -0.7), (-1.9/ 0.1/ -0.8), (-2.2/ 1.3/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,124.0822
Sad,(-2.2/ 0.9/ -0.9), (-2.3/ 1.0/ -0.6), (-2.0/ 0.1/ -0.7), (-1.9/ 0.1/ -0.8), (-2.2/ 1.4/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,123.9995
Sad,(-2.2/ 0.9/ -1.0), (-2.3/ 1.0/ -0.6), (-2.0/ 0.1/ -0.6), (-1.9/ 0.1/ -0.8), (-2.2/ 1.4/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,124.3007
Sad,(-2.2/ 1.0/ -1.0), (-2.3/ 1.0/ -0.6), (-2.0/ 0.1/ -0.6), (-1.9/ 0.1/ -0.8), (-2.2/ 1.4/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,125.3973
Sad,(-2.2/ 1.0/ -0.9), (-2.3/ 1.0/ -0.5), (-2.0/ 0.1/ -0.6), (-1.9/ 0.1/ -0.8), (-2.1/ 1.4/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,124.742
Sad,(-2.2/ 1.1/ -1.0), (-2.3/ 1.1/ -0.5), (-2.0/ 0.1/ -0.6), (-1.9/ 0.1/ -0.8), (-2.1/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,122.7809
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Tiempo en resolver la situación: 51,25 segundos

Entre el comienzo de la clase y el desarrollo de la situación crítica el tono de voz se vio modificado un 0 %
No se ha detectado ninguna palabra
